input alg leaves trees k level t1 t2 t3 timeout errorInFile
100_leaves_53_trees_8_trees_5.txt Hybroscale 100 8 -100 0 9999 9999 9999 True False
100_leaves_53_trees_8_trees_6.txt Hybroscale 100 8 -100 0 9999 9999 9999 True False
100_leaves_53_trees_8_trees_7.txt Hybroscale 100 8 -100 0 9999 9999 9999 True False
100_leaves_53_trees_8_trees_8.txt Hybroscale 100 8 -100 0 9999 9999 9999 True False
100_leaves_53_trees_8_trees_9.txt Hybroscale 100 8 -100 0 9999 9999 9999 True False
10_leaves_770_trees_2_trees_1.txt Hybroscale 10 2 3 -1 0.187 0.215 0.021 False False
10_leaves_770_trees_2_trees_10.txt Hybroscale 10 2 4 -1 0.16 0.217 0.017 False False
10_leaves_770_trees_2_trees_2.txt Hybroscale 10 2 4 -1 0.17 0.242 0.016 False False
10_leaves_770_trees_2_trees_3.txt Hybroscale 10 2 3 -1 0.155 0.217 0.0 False False
10_leaves_770_trees_2_trees_4.txt Hybroscale 10 2 3 -1 0.16 0.215 0.019 False False
10_leaves_770_trees_2_trees_5.txt Hybroscale 10 2 4 -1 0.161 0.212 0.02 False False
10_leaves_770_trees_2_trees_6.txt Hybroscale 10 2 4 -1 0.165 0.217 0.021 False False
10_leaves_770_trees_2_trees_7.txt Hybroscale 10 2 3 -1 0.159 0.184 0.033 False False
10_leaves_770_trees_2_trees_8.txt Hybroscale 10 2 3 -1 0.154 0.196 0.02 False False
10_leaves_770_trees_2_trees_9.txt Hybroscale 10 2 3 -1 0.169 0.2 0.036 False False
10_leaves_770_trees_3_trees_1.txt Hybroscale 10 3 4 -1 2.683 2.174 0.097 False False
10_leaves_770_trees_3_trees_10.txt Hybroscale 10 3 6 -1 3.699 6.001 0.134 False False
10_leaves_770_trees_3_trees_2.txt Hybroscale 10 3 4 -1 2.689 1.754 0.102 False False
10_leaves_770_trees_3_trees_3.txt Hybroscale 10 3 6 -1 4.733 13.368 0.29 False False
10_leaves_770_trees_3_trees_4.txt Hybroscale 10 3 4 -1 2.689 2.458 0.085 False False
10_leaves_770_trees_3_trees_5.txt Hybroscale 10 3 6 -1 3.798 10.766 0.267 False False
10_leaves_770_trees_3_trees_6.txt Hybroscale 10 3 4 -1 2.683 2.604 0.085 False False
10_leaves_770_trees_3_trees_7.txt Hybroscale 10 3 5 -1 2.703 6.342 0.177 False False
10_leaves_770_trees_3_trees_8.txt Hybroscale 10 3 5 -1 3.289 9.33 0.295 False False
10_leaves_770_trees_3_trees_9.txt Hybroscale 10 3 5 -1 2.699 7.263 0.161 False False
10_leaves_770_trees_4_trees_1.txt Hybroscale 10 4 6 -1 9.667 31.514 0.874 False False
10_leaves_770_trees_4_trees_10.txt Hybroscale 10 4 7 -1 80.578 317.332 1.464 False False
10_leaves_770_trees_4_trees_2.txt Hybroscale 10 4 6 -1 9.44 30.209 0.839 False False
10_leaves_770_trees_4_trees_3.txt Hybroscale 10 4 5 -1 4.812 13.57 0.398 False False
10_leaves_770_trees_4_trees_4.txt Hybroscale 10 4 7 -1 54.728 212.993 1.204 False False
10_leaves_770_trees_4_trees_5.txt Hybroscale 10 4 6 -1 11.553 39.758 0.92 False False
10_leaves_770_trees_4_trees_6.txt Hybroscale 10 4 7 -1 43.602 165.761 1.185 False False
10_leaves_770_trees_4_trees_7.txt Hybroscale 10 4 5 -1 5.373 15.168 0.406 False False
10_leaves_770_trees_4_trees_8.txt Hybroscale 10 4 7 -1 175.481 687.912 1.896 False False
10_leaves_770_trees_4_trees_9.txt Hybroscale 10 4 8 -1 254.264 1004.58 2.444 False False
10_leaves_770_trees_5_trees_1.txt Hybroscale 10 5 7 -1 1260.569 4998.135 7.115 False False
10_leaves_770_trees_5_trees_10.txt Hybroscale 10 5 -10 0 9999 9999 9999 True False
10_leaves_770_trees_5_trees_2.txt Hybroscale 10 5 -10 0 9999 9999 9999 True False
10_leaves_770_trees_5_trees_3.txt Hybroscale 10 5 7 -1 893.564 3532.259 5.404 False False
10_leaves_770_trees_5_trees_4.txt Hybroscale 10 5 -10 0 9999 9999 9999 True False
10_leaves_770_trees_5_trees_5.txt Hybroscale 10 5 -10 0 9999 9999 9999 True False
10_leaves_770_trees_5_trees_6.txt Hybroscale 10 5 -10 0 9999 9999 9999 True False
10_leaves_770_trees_5_trees_7.txt Hybroscale 10 5 -10 0 9999 9999 9999 True False
10_leaves_770_trees_5_trees_8.txt Hybroscale 10 5 6 -1 159.332 609.373 2.109 False False
10_leaves_770_trees_5_trees_9.txt Hybroscale 10 5 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_1.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_10.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_2.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_3.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_4.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_5.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_6.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_7.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_8.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_6_trees_9.txt Hybroscale 10 6 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_1.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_10.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_2.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_3.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_4.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_5.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_6.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_7.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_8.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_7_trees_9.txt Hybroscale 10 7 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_1.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_10.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_2.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_3.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_4.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_5.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_6.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_7.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_8.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
10_leaves_770_trees_8_trees_9.txt Hybroscale 10 8 -10 0 9999 9999 9999 True False
150_leaves_21_trees_2_trees_1.txt Hybroscale 150 2 -150 0 9999 9999 9999 True False
150_leaves_21_trees_2_trees_10.txt Hybroscale 150 2 -150 0 9999 9999 9999 True False
